Хозяева,Гости,1PHosts,2PHosts,3PHosts,OTHosts,SSHosts,1PGuests,2PGuests,3PGuests,OTGuests,SSGuests
Эдмонтон,Бостон,0,1,1,1,0,0,1,1,0,0
Лос-Анджелес,Айлендерс,1,0,1,0,0,1,2,4,0,0
Сан-Хосе,Баффало,2,0,3,0,0,0,1,0,0,0
Вашингтон,Флорида,1,3,1,0,0,4,1,0,0,1
Даллас,Миннесота,0,0,1,0,0,0,0,3,0,0
Калгари,Нэшвилл,1,1,1,0,0,1,2,2,0,0
Филадельфия,Нью-Джерси,1,1,3,0,0,1,0,1,0,0
Каролина,Колорадо,0,0,1,0,0,1,1,1,0,0
Лос-Анджелес,Баффало,0,0,1,0,0,1,3,1,0,0
Виннипег,Аризона,1,2,2,0,0,1,0,2,0,0
Торонто,Сент-Луис,0,0,1,0,0,0,3,1,0,0
Оттава,Монреаль,1,2,0,1,0,3,0,0,0,0
Флорида,Детройт,2,0,1,0,0,0,3,0,1,0
Коламбус,Чикаго,1,0,0,0,0,1,0,3,0,0
Миннесота,Тампа-Бэй,1,1,2,1,0,3,0,1,0,0
Эдмонтон,Нэшвилл,0,0,0,0,0,0,2,1,0,0
Вегас,Анахайм,1,1,1,0,0,0,0,1,0,0
Ванкувер,Бостон,1,0,0,1,0,0,0,1,0,0
Сан-Хосе,Айлендерс,1,2,1,0,0,1,0,0,0,0
Рейнджерс,Калгари,0,0,1,0,0,1,2,1,0,0
Чикаго,Тампа-Бэй,1,0,2,0,0,1,3,2,0,0
Анахайм,Баффало,1,1,0,0,0,0,2,2,0,0
Филадельфия,Колорадо,0,0,1,0,0,1,1,2,0,0
Детройт,Каролина,0,0,1,0,0,1,1,1,0,0
Виннипег,Сент-Луис,1,0,3,1,0,2,1,1,0,0
Ванкувер,Вашингтон,0,1,1,0,0,1,2,2,0,0
Коламбус,Аризона,1,0,0,0,0,2,1,1,0,0
Рейнджерс,Флорида,0,3,2,0,0,1,0,1,0,0
Монреаль,Калгари,0,3,0,0,0,1,0,1,0,0
Оттава,Бостон,0,1,0,0,0,1,1,2,0,0
Нэшвилл,Сан-Хосе,1,3,0,0,0,1,1,3,0,0
Чикаго,Анахайм,1,0,2,0,0,0,1,0,0,0
Даллас,Лос-Анджелес,1,2,1,0,0,0,2,0,0,0
Эдмонтон,Питтсбург,0,3,2,0,0,1,3,1,1,0
Виннипег,Торонто,0,0,2,0,0,1,2,1,0,0
Айлендерс,Флорида,1,1,0,0,0,0,0,2,1,0
Колорадо,Тампа-Бэй,0,0,0,0,0,0,0,1,0,0
Вегас,Ванкувер,0,2,0,0,0,0,2,0,0,1
Бостон,Филадельфия,0,2,1,0,0,0,0,0,0,0
Баффало,Монреаль,0,2,2,0,0,1,1,1,0,0
Нью-Джерси,Нэшвилл,2,1,0,0,0,1,1,1,1,0
Миннесота,Лос-Анджелес,1,1,2,0,0,0,0,1,0,0
Сент-Луис,Коламбус,2,1,1,0,0,1,3,3,0,0
Чикаго,Рейнджерс,1,1,2,0,0,1,0,0,0,0
Даллас,Анахайм,2,3,0,0,0,1,1,0,0,0
Эдмонтон,Вашингтон,1,1,2,0,0,0,1,0,0,0
Калгари,Питтсбург,0,0,1,0,0,3,4,2,0,0
Аризона,Ванкувер,0,1,3,0,0,0,1,0,0,0
Вегас,Тампа-Бэй,1,0,1,0,0,2,1,0,0,0
Детройт,Виннипег,1,0,0,0,0,0,1,1,0,0
Каролина,Сан-Хосе,0,3,0,0,1,2,1,0,0,0
Колорадо,Оттава,0,2,4,0,0,2,1,0,0,0
Нью-Джерси,Флорида,1,2,0,0,0,0,0,2,0,0
Филадельфия,Айлендерс,0,1,0,0,0,2,1,3,0,0
Нэшвилл,Эдмонтон,0,1,2,0,0,1,2,2,0,0
Калгари,Вашингтон,2,0,1,0,0,2,1,0,0,1
Торонто,Виннипег,0,0,3,0,0,1,1,0,0,0
Коламбус,Баффало,1,3,0,1,0,2,0,2,0,0
Бостон,Монреаль,0,0,0,0,0,2,0,1,0,0
Миннесота,Колорадо,0,1,2,0,0,1,0,1,0,0
Сент-Луис,Чикаго,2,2,3,0,0,2,1,0,0,0
Аризона,Тампа-Бэй,3,2,2,0,0,0,0,1,0,0
Ванкувер,Питтсбург,0,0,0,0,0,0,2,3,0,0
Лос-Анджелес,Рейнджерс,0,2,2,0,0,1,1,1,0,0
Каролина,Айлендерс,0,1,0,0,0,1,1,0,0,0
Детройт,Даллас,0,1,3,0,0,1,0,1,0,0
Чикаго,Эдмонтон,1,0,0,0,0,1,0,0,1,0
Анахайм,Сан-Хосе,1,1,1,0,0,1,2,0,1,0
Вегас,Оттава,0,2,1,1,0,1,1,1,0,0
Торонто,Калгари,0,0,1,0,0,0,0,3,0,0
Ванкувер,Миннесота,1,2,2,0,0,1,1,0,0,0
Баффало,Калгари,1,0,0,0,0,0,0,1,1,0
Питтсбург,Айлендерс,2,0,1,0,0,2,3,1,0,0
Каролина,Бостон,1,1,0,0,0,0,2,1,0,0
Коламбус,Детройт,0,0,3,0,0,3,0,2,0,0
Тампа-Бэй,Нью-Джерси,2,3,3,0,0,2,1,0,0,0
Монреаль,Даллас,0,0,1,0,0,0,2,2,0,0
Нэшвилл,Вегас,0,2,2,0,0,1,0,0,0,0
Эдмонтон,Миннесота,1,2,0,0,0,1,2,1,0,0
Аризона,Оттава,3,1,1,0,0,0,1,0,0,0
Анахайм,Филадельфия,0,1,1,0,0,1,1,1,0,0
Сан-Хосе,Рейнджерс,1,0,2,0,0,1,0,2,0,1
Ванкувер,Чикаго,1,1,2,0,0,1,1,0,0,0
Флорида,Виннипег,0,2,0,0,0,1,1,2,0,0
Айлендерс,Питтсбург,0,1,1,0,1,1,0,1,0,0
Торонто,Даллас,0,0,1,0,0,0,1,1,0,0
Тампа-Бэй,Нэшвилл,0,1,0,0,0,2,0,2,0,0
Детройт,Нью-Джерси,1,0,3,0,0,0,1,2,0,0
Оттава,Баффало,1,2,1,0,0,0,0,2,0,0
Монреаль,Вашингтон,1,2,3,0,0,1,3,0,0,0
Сент-Луис,Вегас,1,3,1,0,0,1,1,1,0,0
Эдмонтон,Чикаго,0,2,2,0,0,0,0,0,0,0
Калгари,Колорадо,0,1,5,0,0,0,4,1,0,0
Анахайм,Рейнджерс,0,1,1,0,0,0,2,0,0,1
Лос-Анджелес,Филадельфия,0,2,0,0,0,1,2,2,0,0
Сан-Хосе,Коламбус,1,0,0,0,0,1,2,1,0,0
Виннипег,Флорида,2,0,0,0,0,1,2,1,0,0
Ванкувер,Колорадо,1,3,2,1,0,0,4,2,0,0
Аризона,Каролина,3,0,0,1,0,0,1,2,0,0
Баффало,Оттава,3,4,2,0,0,0,1,1,0,0
Питтсбург,Торонто,0,0,0,0,0,1,2,2,0,0
Вашингтон,Даллас,0,2,1,0,0,2,1,0,1,0
Детройт,Эдмонтон,1,1,1,0,0,1,2,1,0,0
Монреаль,Тампа-Бэй,1,0,0,0,0,2,0,2,0,0
Айлендерс,Нью-Джерси,1,0,2,0,0,0,0,0,0,0
Нэшвилл,Бостон,1,0,0,0,0,0,0,0,0,0
Сент-Луис,Миннесота,1,0,0,0,0,3,1,1,0,0
Калгари,Чикаго,1,1,3,0,0,2,1,0,0,0
Вегас,Каролина,1,1,1,0,0,0,0,0,0,0
Сан-Хосе,Филадельфия,1,1,1,1,0,2,1,0,0,0
Лос-Анджелес,Коламбус,1,1,2,0,0,0,0,1,0,0
Оттава,Тампа-Бэй,2,0,1,0,0,0,1,2,1,0
Рейнджерс,Баффало,0,2,1,0,0,0,0,1,0,0
Анахайм,Коламбус,0,2,0,1,0,0,1,1,0,0
Питтсбург,Нью-Джерси,1,0,0,0,0,2,2,1,0,0
Бостон,Даллас,1,0,0,1,0,1,0,0,0,0
Вашингтон,Эдмонтон,2,2,0,0,0,1,1,0,0,0
Айлендерс,Монреаль,3,0,0,0,0,1,1,1,0,1
Аризона,Филадельфия,0,1,1,0,0,2,1,2,0,0
Торонто,Вегас,1,1,1,0,0,0,1,0,0,0
Рейнджерс,Монреаль,1,1,3,0,0,1,2,0,0,0
Коламбус,Даллас,1,2,1,0,0,0,0,1,0,0
Детройт,Ванкувер,0,1,1,0,1,1,1,0,0,0
Оттава,Нью-Джерси,2,3,2,0,0,2,0,1,0,0
Тампа-Бэй,Эдмонтон,2,2,1,0,0,0,1,1,0,0
Сент-Луис,Каролина,3,0,1,0,0,1,0,0,0,0
Лос-Анджелес,Анахайм,2,1,1,0,0,0,1,0,0,0
