Хозяева,Гости,1PHosts,2PHosts,3PHosts,OTHosts,SSHosts,1PGuests,2PGuests,3PGuests,OTGuests,SSGuests
Айлендерс,Виннипег,0,0,1,0,0,0,0,3,0,0
Флорида,Бостон,0,4,1,0,0,0,0,0,0,0
Питтсбург,Колорадо,3,0,3,0,0,0,3,0,0,0
Коламбус,Калгари,3,2,1,0,0,1,5,3,0,0
Детройт,Тампа-Бэй,2,2,1,0,0,0,3,2,0,1
Баффало,Торонто,0,1,2,0,0,0,2,1,1,0
Монреаль,Оттава,1,3,1,0,0,0,1,1,0,0
Ванкувер,Миннесота,1,1,0,0,0,1,2,0,0,0
Вегас,Вашингтон,1,0,4,0,0,1,1,1,0,0
Лос-Анджелес,Аризона,0,0,1,0,0,1,1,0,0,0
Сент-Луис,Эдмонтон,2,0,0,0,0,0,1,1,0,1
Сан-Хосе,Каролина,2,2,1,0,0,0,1,0,0,0
Анахайм,Чикаго,2,0,2,0,0,0,2,0,0,0
Флорида,Колорадо,1,1,0,0,0,1,1,3,0,0
Питтсбург,Айлендерс,2,3,1,0,0,1,0,1,0,0
Филадельфия,Коламбус,1,0,2,0,0,2,0,1,1,0
Торонто,Детройт,1,0,3,0,0,3,1,0,1,0
Оттава,Монреаль,1,1,0,0,0,1,2,2,0,0
Тампа-Бэй,Бостон,1,0,2,0,0,1,0,1,0,0
Калгари,Миннесота,0,1,1,0,0,0,0,0,0,0
Аризона,Вашингтон,1,1,0,0,0,0,2,2,0,0
Ванкувер,Нэшвилл,2,2,1,0,0,0,1,2,0,0
Вегас,Чикаго,2,0,2,0,0,0,2,1,0,0
Лос-Анджелес,Нью-Джерси,1,2,0,0,0,1,3,2,0,0
Виннипег,Сент-Луис,0,0,0,0,0,0,1,0,0,0
Даллас,Сан-Хосе,0,1,2,0,0,1,0,1,0,0
Эдмонтон,Миннесота,3,0,4,0,0,1,0,1,0,0
Анахайм,Каролина,1,0,0,0,0,0,1,3,0,0
Баффало,Филадельфия,2,0,0,0,0,1,1,4,0,0
Лос-Анджелес,Вегас,1,2,2,0,0,1,0,0,0,0
Тампа-Бэй,Колорадо,3,3,1,0,0,1,0,0,0,0
Бостон,Торонто,1,2,3,0,0,0,0,3,0,0
Детройт,Айлендерс,2,0,0,0,0,0,2,1,0,0
Коламбус,Вашингтон,0,0,0,0,0,3,0,1,0,0
Оттава,Питтсбург,1,0,0,1,0,0,1,0,0,0
Флорида,Рейнджерс,0,3,1,0,0,2,1,1,0,1
Аризона,Сан-Хосе,0,2,1,0,0,2,1,2,0,0
Калгари,Нэшвилл,1,1,3,0,0,1,0,1,0,0
Сент-Луис,Ванкувер,0,0,1,0,0,3,2,1,0,0
Виннипег,Филадельфия,2,3,2,0,0,1,0,0,0,0
Оттава,Бостон,1,0,0,0,0,0,1,0,1,0
Чикаго,Монреаль,1,1,0,0,0,2,0,1,0,0
Анахайм,Нью-Джерси,3,0,2,0,1,3,1,1,0,0
Эдмонтон,Калгари,1,0,0,0,0,0,0,0,0,0
Вегас,Даллас,1,2,1,0,0,1,0,1,0,0
Айлендерс,Питтсбург,0,1,0,0,0,0,0,1,0,1
Тампа-Бэй,Рейнджерс,1,2,3,0,0,2,0,1,0,0
Детройт,Лос-Анджелес,1,2,0,0,0,0,0,1,0,0
Сан-Хосе,Нью-Джерси,2,2,1,0,0,1,1,0,0,0
Коламбус,Ванкувер,1,0,1,0,0,0,0,3,0,0
Бостон,Аризона,0,4,0,0,0,2,1,0,0,0
Каролина,Торонто,0,1,0,0,0,1,1,2,0,0
Баффало,Лос-Анджелес,1,0,2,1,0,1,2,0,0,0
Вашингтон,Детройт,3,2,1,0,0,0,0,2,0,0
Миннесота,Монреаль,1,4,2,0,0,0,0,1,0,0
Виннипег,Чикаго,3,1,2,0,0,0,2,1,0,0
Нэшвилл,Оттава,1,1,1,0,0,1,0,0,0,0
Сент-Луис,Флорида,0,0,4,0,0,1,0,2,0,0
Колорадо,Эдмонтон,0,1,3,0,0,1,4,1,0,0
Айлендерс,Вегас,1,1,0,0,0,1,1,1,0,0
Чикаго,Питтсбург,2,1,3,0,0,1,2,0,0,0
Калгари,Филадельфия,1,2,2,1,0,0,4,1,0,0
Анахайм,Даллас,1,1,4,0,0,0,3,0,0,0
Коламбус,Лос-Анджелес,2,2,0,0,0,1,0,0,0,0
Баффало,Аризона,2,0,1,0,0,1,0,0,0,0
Тампа-Бэй,Торонто,1,3,0,0,0,1,0,0,0,0
Монреаль,Каролина,0,2,4,0,0,0,1,3,0,0
Миннесота,Флорида,1,2,2,0,0,1,0,0,0,0
Виннипег,Эдмонтон,2,1,1,1,0,1,3,0,0,0
Нэшвилл,Ванкувер,2,1,0,1,0,1,0,2,0,0
Сан-Хосе,Даллас,0,1,2,0,0,0,1,1,0,0
Рейнджерс,Аризона,2,1,0,0,0,0,1,2,1,0
Нью-Джерси,Вегас,0,2,2,1,0,3,1,0,0,0
Питтсбург,Бостон,1,2,2,0,0,0,1,2,0,0
Детройт,Оттава,1,1,0,0,0,2,0,2,0,0
Каролина,Вашингтон,2,2,1,0,0,1,3,1,0,1
Сент-Луис,Колорадо,2,0,1,1,0,2,0,1,0,0
Чикаго,Виннипег,1,1,1,0,0,1,2,0,1,0
Эдмонтон,Филадельфия,1,2,1,0,0,0,0,1,0,0
Миннесота,Калгари,0,1,0,0,0,1,0,1,0,0
Монреаль,Оттава,1,0,4,0,0,1,1,0,0,0
Питтсбург,Лос-Анджелес,2,1,0,1,0,0,2,1,0,0
Вашингтон,Баффало,2,1,0,0,1,1,2,0,0,0
Айлендерс,Детройт,1,0,2,0,1,2,0,1,0,0
Флорида,Торонто,1,1,1,1,0,0,0,3,0,0
Коламбус,Анахайм,1,0,0,0,0,1,0,0,1,0
Нэшвилл,Нью-Джерси,1,0,0,0,1,0,0,1,0,0
Колорадо,Даллас,3,1,2,0,0,0,2,2,0,0
Ванкувер,Филадельфия,3,1,1,0,0,1,0,0,0,0
Рейнджерс,Вегас,1,1,1,0,0,1,2,0,1,0
Каролина,Аризона,0,2,1,0,0,0,0,0,0,0
Сент-Луис,Калгари,0,2,0,0,0,4,1,2,0,0
Бостон,Баффало,0,1,1,0,0,0,1,3,0,0
Виннипег,Тампа-Бэй,1,2,1,1,0,1,2,1,0,0
Чикаго,Сан-Хосе,3,0,0,0,0,2,3,2,0,0
Ванкувер,Эдмонтон,0,2,2,0,0,0,1,1,0,0
Коламбус,Вегас,0,0,1,0,0,0,0,0,0,0
Питтсбург,Анахайм,2,0,0,0,0,0,3,1,0,0
Оттава,Нэшвилл,3,0,0,1,0,0,1,2,0,0
Монреаль,Бостон,0,0,0,0,0,1,1,2,0,0
Колорадо,Айлендерс,0,1,0,0,0,1,2,1,0,0
Баффало,Флорида,1,1,0,0,0,0,1,4,0,0
Рейнджерс,Анахайм,0,0,3,0,0,0,1,0,0,0
Нью-Джерси,Торонто,1,0,1,0,0,3,2,2,0,0
Филадельфия,Детройт,1,2,0,0,0,0,1,1,0,0
Миннесота,Сан-Хосе,0,0,0,0,0,0,2,2,0,0
Чикаго,Нэшвилл,0,2,0,0,0,1,0,0,0,0
Даллас,Калгари,1,1,0,0,0,0,0,0,0,0
Аризона,Айлендерс,1,0,0,0,0,1,2,0,0,0
Эдмонтон,Сент-Луис,0,1,0,0,0,1,0,3,0,0
Ванкувер,Тампа-Бэй,1,0,1,0,0,2,1,2,0,0
Лос-Анджелес,Виннипег,1,2,1,0,0,0,1,0,0,0
Вашингтон,Питтсбург,0,1,0,0,0,0,2,0,0,0
Колорадо,Монреаль,0,1,1,0,0,1,0,0,0,0
Бостон,Анахайм,0,2,1,0,0,0,0,1,0,0
Торонто,Флорида,1,2,3,0,0,0,0,1,0,0
Филадельфия,Нэшвилл,1,1,0,0,0,0,1,0,0,0
Питтсбург,Миннесота,1,0,1,0,0,1,0,0,0,0
Каролина,Детройт,0,1,0,0,0,1,1,2,0,0
Коламбус,Нью-Джерси,1,1,0,0,0,0,1,0,0,0
Даллас,Чикаго,0,1,1,0,0,2,1,2,0,0
Калгари,Тампа-Бэй,3,0,1,0,0,1,2,1,0,1
Аризона,Монреаль,0,1,0,0,0,0,1,1,0,0
Ванкувер,Сент-Луис,0,2,3,0,0,0,0,1,0,0
Вегас,Айлендерс,0,1,3,0,0,2,0,0,0,0
Сан-Хосе,Виннипег,2,1,0,0,0,3,0,2,0,0
Вашингтон,Баффало,0,1,1,0,0,0,0,1,0,0
Нью-Джерси,Оттава,2,3,0,0,0,0,2,0,0,0
Колорадо,Чикаго,0,1,0,0,0,1,0,1,0,0
Филадельфия,Коламбус,1,1,1,0,0,1,3,0,0,0
Бостон,Нэшвилл,1,0,4,0,0,0,1,1,0,0
Детройт,Флорида,0,1,0,0,0,2,0,0,0,0
Сан-Хосе,Лос-Анджелес,0,0,2,0,0,1,0,1,1,0
Калгари,Сент-Луис,1,0,0,0,0,2,0,1,0,0
Вегас,Монреаль,1,2,0,0,0,1,1,1,1,0
Оттава,Вашингтон,0,0,0,0,0,2,2,0,0,0
Каролина,Питтсбург,0,0,0,0,0,1,2,0,0,0
Торонто,Рейнджерс,1,0,4,0,0,0,1,2,0,0
Баффало,Анахайм,1,0,2,0,0,0,0,0,0,0
Аризона,Колорадо,2,2,2,0,0,1,0,3,0,0
Миннесота,Даллас,0,0,1,0,0,0,0,1,1,0
Ванкувер,Виннипег,0,0,0,0,0,0,0,1,0,0
Эдмонтон,Тампа-Бэй,1,1,1,0,0,1,2,3,0,0
Нью-Джерси,Коламбус,0,0,0,0,0,2,1,0,0,0
Каролина,Бостон,1,3,1,0,0,2,1,0,0,0
Чикаго,Флорида,1,1,1,0,0,1,3,2,0,0
Рейнджерс,Филадельфия,1,0,1,0,0,0,1,1,0,1
Торонто,Детройт,1,2,1,1,0,2,1,1,0,0
Вегас,Лос-Анджелес,1,1,1,0,0,0,2,1,1,0
Даллас,Айлендерс,0,1,0,0,0,0,1,2,0,0
Сан-Хосе,Аризона,1,0,2,0,0,1,1,1,0,1
Бостон,Нью-Джерси,0,1,1,0,0,2,0,3,0,0
Рейнджерс,Коламбус,1,1,1,0,0,2,0,1,1,0
Вашингтон,Каролина,0,2,1,0,0,0,0,1,0,0
Питтсбург,Детройт,0,3,2,0,0,1,0,1,0,0
Тампа-Бэй,Филадельфия,2,3,0,1,0,1,1,3,0,0
Виннипег,Калгари,0,1,0,0,0,0,2,2,0,0
Нэшвилл,Даллас,0,0,0,0,0,1,1,0,0,0
Сент-Луис,Баффало,0,3,1,0,0,0,1,0,0,0
Чикаго,Миннесота,1,2,2,0,0,1,0,1,0,0
Эдмонтон,Ванкувер,1,1,0,0,0,4,0,0,0,0
Вегас,Колорадо,1,0,1,0,0,1,0,0,0,0
Сан-Хосе,Анахайм,1,1,2,0,0,1,0,1,0,0
Лос-Анджелес,Аризона,1,0,1,0,0,1,0,0,0,0
Коламбус,Торонто,1,0,1,0,0,2,1,1,0,0
Айлендерс,Оттава,0,2,4,0,0,1,2,0,0,0
Флорида,Монреаль,2,0,1,0,0,2,0,3,0,0
Нью-Джерси,Каролина,0,1,1,0,0,0,0,0,0,0
Виннипег,Миннесота,0,0,1,0,0,1,1,1,0,0
Лос-Анджелес,Вегас,1,0,0,0,0,1,1,2,0,0
Эдмонтон,Сан-Хосе,1,0,3,0,0,2,2,3,0,0
Оттава,Вашингтон,0,1,1,0,0,2,1,0,0,0
Флорида,Филадельфия,0,0,2,0,0,1,0,0,0,0
Баффало,Бостон,1,1,0,0,0,1,0,1,1,0
Торонто,Айлендерс,0,0,0,0,0,1,3,0,0,0
Тампа-Бэй,Монреаль,2,2,2,0,0,3,2,0,0,0
Сент-Луис,Питтсбург,0,1,0,0,0,1,3,2,0,0
Даллас,Детройт,0,3,2,0,0,0,0,1,0,0
Нэшвилл,Рейнджерс,1,2,0,0,0,1,1,2,0,0
Колорадо,Чикаго,1,1,0,0,0,2,0,0,1,0
Анахайм,Аризона,2,2,0,0,0,1,3,0,1,0
Калгари,Ванкувер,1,1,0,0,0,1,1,0,1,0
Аризона,Вегас,0,1,0,0,0,1,1,3,0,0
Вашингтон,Нэшвилл,2,1,0,0,0,1,3,2,0,0
Нью-Джерси,Ванкувер,2,0,2,0,0,0,0,0,0,0
Баффало,Айлендерс,0,0,1,0,0,0,1,2,0,0
Миннесота,Питтсбург,1,0,1,0,0,2,1,0,0,0
Каролина,Филадельфия,1,2,0,0,0,0,0,1,0,0
Коламбус,Оттава,0,1,5,0,0,0,1,2,0,0
Сент-Луис,Рейнджерс,1,0,0,0,0,1,1,0,0,0
Детройт,Флорида,3,0,0,0,0,0,3,0,0,1
Колорадо,Лос-Анджелес,0,0,2,0,0,0,2,0,1,0
Анахайм,Тампа-Бэй,1,0,0,0,0,1,0,0,1,0
Даллас,Монреаль,0,2,0,0,0,1,0,1,1,0
Эдмонтон,Виннипег,1,1,1,0,0,0,3,1,0,0
Калгари,Сан-Хосе,3,2,3,0,0,1,2,2,0,0
Чикаго,Бостон,1,1,0,0,0,1,1,2,0,0
Нэшвилл,Филадельфия,0,2,2,0,0,0,0,0,0,0
Вегас,Лос-Анджелес,0,0,2,0,0,0,0,0,0,0
Детройт,Калгари,2,1,0,0,0,0,3,2,0,0
Рейнджерс,Питтсбург,0,1,1,0,0,0,4,3,0,0
Оттава,Ванкувер,0,1,2,0,0,0,2,1,1,0
Даллас,Нью-Джерси,1,3,1,0,0,1,3,0,0,0
Аризона,Эдмонтон,1,0,0,0,0,0,2,1,0,0
Колорадо,Сан-Хосе,1,1,2,0,0,2,3,0,0,0
Торонто,Миннесота,2,1,0,0,0,1,2,1,0,0
Филадельфия,Каролина,0,0,3,0,0,0,3,2,0,0
Бостон,Калгари,2,1,3,0,0,1,1,2,0,0
Баффало,Флорида,2,0,2,0,0,0,1,2,0,0
Монреаль,Ванкувер,1,1,0,0,0,0,0,0,0,0
Айлендерс,Чикаго,1,1,0,1,0,1,0,1,0,0
Сент-Луис,Вашингтон,1,2,2,0,0,1,1,0,0,0
Лос-Анджелес,Тампа-Бэй,0,1,1,0,0,3,2,1,0,0
Питтсбург,Виннипег,2,1,1,0,0,0,0,0,0,0
Каролина,Коламбус,2,1,1,0,0,0,2,0,0,0
Детройт,Нэшвилл,0,2,1,1,0,1,1,1,0,0
Даллас,Вашингтон,1,0,0,1,0,0,1,0,0,0
Аризона,Нью-Джерси,1,1,0,0,0,1,1,0,0,1
Колорадо,Рейнджерс,2,1,3,0,0,0,0,1,0,0
Анахайм,Вегас,0,2,0,0,0,1,2,0,0,0
Оттава,Миннесота,1,1,1,0,0,0,3,1,0,0
Филадельфия,Калгари,1,0,1,0,0,0,1,1,1,0
Бостон,Баффало,1,1,0,0,0,0,0,1,0,0
Торонто,Ванкувер,2,0,3,0,0,0,0,0,0,0
Флорида,Коламбус,2,0,1,0,0,1,1,1,1,0
Монреаль,Нэшвилл,0,1,0,0,0,2,1,1,0,0
Сент-Луис,Айлендерс,2,0,1,0,0,0,1,3,0,0
Лос-Анджелес,Эдмонтон,3,0,1,0,0,0,0,0,0,0
Сан-Хосе,Тампа-Бэй,2,1,2,0,0,1,1,0,0,0
Оттава,Каролина,0,4,0,0,0,2,2,1,0,0
Вегас,Нью-Джерси,1,2,0,0,0,2,0,0,0,0
Аризона,Рейнджерс,2,3,0,0,0,0,0,0,0,0
Виннипег,Даллас,0,2,3,0,0,0,1,0,0,0
Детройт,Вашингтон,1,1,0,0,0,1,0,2,0,0
Питтсбург,Чикаго,2,1,0,0,0,1,2,2,0,0
Анахайм,Эдмонтон,0,0,0,0,0,3,1,0,0,0
Торонто,Нэшвилл,0,0,0,0,0,0,2,2,0,0
Филадельфия,Сент-Луис,0,0,0,0,0,0,1,2,0,0
Монреаль,Миннесота,0,0,0,0,0,0,0,1,0,0
Чикаго,Калгари,1,1,1,0,0,1,1,2,0,0
Сан-Хосе,Лос-Анджелес,1,1,1,0,0,0,1,0,0,0
